State,deaths,cases
Addison,10.0,2177
Bennington,39.0,4728
Caledonia,21.0,2860
Chittenden,132.0,13914
Essex,2.0,821
Franklin,53.0,4533
Grand Isle,2.0,469
Lamoille,9.0,1877
Orange,8.0,1902
Orleans,27.0,3645
Rutland,35.0,6226
Unknown,0.0,59
Washington,29.0,4631
Windham,27.0,3121
Windsor,35.0,4354
